id,entityType,name,clinicName,vetName,address,city,province,phone,website,lat,lng,services,species,specialties,sourceType,sourceUrl,sourceCollectedAt,lastVerifiedAt,profileStatus,verificationStatus,onlineBookingStatus,isPublished,marketingConsent,outreachStatus,internalNotes,rawLabel
dir_77c780b08c548230,clinic,Franco Botta,Franco Botta,,,,,,,44.12538,8.25463,,,,anagrafe_strutture_poi,https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2,2026-07-09,,needs_review,not_verified,disabled,false,false,not_contacted,,Franco Botta
dir_f27b6eba2cc1c813,clinic,Ambulatorio Veterinario Dott.tTomas bBttello,Ambulatorio Veterinario Dott.tTomas bBttello,,,,,,,45.09838,7.67594,,,,anagrafe_strutture_poi,https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2,2026-07-09,,needs_review,not_verified,disabled,false,false,not_contacted,,Ambulatorio Veterinario Dott.tTomas bBttello
dir_93341aa6b4963995,clinic,Ambulatorio Veterinario,Ambulatorio Veterinario,,,,,,,45.46142,8.61621,,,,anagrafe_strutture_poi,https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2,2026-07-09,,needs_review,not_verified,disabled,false,false,not_contacted,,Ambulatorio Veterinario
dir_b8b7702c560f8b96,clinic,Ambulatorio Veterinario,Ambulatorio Veterinario,,,,,,,37.57049,15.08947,,,,anagrafe_strutture_poi,https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2,2026-07-09,,needs_review,not_verified,disabled,false,false,not_contacted,,Ambulatorio Veterinario
dir_72d67d02e86f7443,clinic,Ambulatorio Veterinario,Ambulatorio Veterinario,,,,,,,45.59106,8.95372,,,,anagrafe_strutture_poi,https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2,2026-07-09,,needs_review,not_verified,disabled,false,false,not_contacted,,Ambulatorio Veterinario
dir_0c0d2b511678c206,clinic,Clinica Veterinaria Manenti Dott.dDrio,Clinica Veterinaria Manenti Dott.dDrio,,,,,,,45.56510,9.97456,,,,anagrafe_strutture_poi,https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2,2026-07-09,,needs_review,not_verified,disabled,false,false,not_contacted,,Clinica Veterinaria Manenti Dott.dDrio
dir_af58dc8a6ae79344,clinic,Ambulatorio Veterinario,Ambulatorio Veterinario,,,,,,,42.45490,14.14497,,,,anagrafe_strutture_poi,https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2,2026-07-09,,needs_review,not_verified,disabled,false,false,not_contacted,,Ambulatorio Veterinario
dir_e77a9e54c42421d6,clinic,Ambulatorio Veterinario Dr.pPolucci,Ambulatorio Veterinario Dr.pPolucci,,,,,,,42.11490,14.36050,,,,anagrafe_strutture_poi,https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2,2026-07-09,,needs_review,not_verified,disabled,false,false,not_contacted,,Ambulatorio Veterinario Dr.pPolucci
dir_af0f9cce17915297,clinic,Ambulatorio Veterinario Aspra,Ambulatorio Veterinario Aspra,,,,,,,38.10542,13.50034,,,,anagrafe_strutture_poi,https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2,2026-07-09,,needs_review,not_verified,disabled,false,false,not_contacted,,Ambulatorio Veterinario Aspra
dir_df10b638d661c727,clinic,Ambulatorio Veterinario Dr.gGuseppe mMsti,Ambulatorio Veterinario Dr.gGuseppe mMsti,,,,,,,45.59305,9.19303,,,,anagrafe_strutture_poi,https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2,2026-07-09,,needs_review,not_verified,disabled,false,false,not_contacted,,Ambulatorio Veterinario Dr.gGuseppe mMsti
dir_b1d247496a5a4ccc,clinic,Studio Veterinario Associato,Studio Veterinario Associato,,,,,,,39.90111,8.58943,,,,anagrafe_strutture_poi,https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2,2026-07-09,,needs_review,not_verified,disabled,false,false,not_contacted,,Studio Veterinario Associato
dir_549616f0cac6231c,clinic,Clinica Veterinaria Dr.tTmassini,Clinica Veterinaria Dr.tTmassini,,,,,,,45.61957,9.19978,,,,anagrafe_strutture_poi,https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2,2026-07-09,,needs_review,not_verified,disabled,false,false,not_contacted,,Clinica Veterinaria Dr.tTmassini
dir_a67061c62b1ba52e,clinic,Ambulatorio Medico Veterinario Dr.pPacentini --rD mgMiavacca,Ambulatorio Medico Veterinario Dr.pPacentini --rD mgMiavacca,,,,,,,45.21419,9.25336,,,,anagrafe_strutture_poi,https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2,2026-07-09,,needs_review,not_verified,disabled,false,false,not_contacted,,Ambulatorio Medico Veterinario Dr.pPacentini --rD mgMiavacca
dir_32e035ede45e3291,clinic,Ambulatorio Veterinario Ca'bBanca,Ambulatorio Veterinario Ca'bBanca,,,,,,,44.52162,11.32162,,,,anagrafe_strutture_poi,https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2,2026-07-09,,needs_review,not_verified,disabled,false,false,not_contacted,,Ambulatorio Veterinario Ca'bBanca
dir_509910bb906b56b0,clinic,Ambulatorio Veterinario Valle Dei Fiori,Ambulatorio Veterinario Valle Dei Fiori,,,,,,,43.90173,10.68860,,,,anagrafe_strutture_poi,https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2,2026-07-09,,needs_review,not_verified,disabled,false,false,not_contacted,,Ambulatorio Veterinario Valle Dei Fiori
dir_e46c1aba0250b308,clinic,Ambulatorio Veterinario Dr.cCaudio gGtti,Ambulatorio Veterinario Dr.cCaudio gGtti,,,,,,,45.40608,9.17332,,,,anagrafe_strutture_poi,https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2,2026-07-09,,needs_review,not_verified,disabled,false,false,not_contacted,,Ambulatorio Veterinario Dr.cCaudio gGtti
dir_92e21a6815c5960a,clinic,Ambulatorio Veterinario Dr.cCppelletto,Ambulatorio Veterinario Dr.cCppelletto,,,,,,,45.71895,12.15306,,,,anagrafe_strutture_poi,https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2,2026-07-09,,needs_review,not_verified,disabled,false,false,not_contacted,,Ambulatorio Veterinario Dr.cCppelletto
dir_555489cf53425c91,clinic,Ambulatorio Veterinario Fincato,Ambulatorio Veterinario Fincato,,,,,,,45.44945,11.01994,,,,anagrafe_strutture_poi,https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2,2026-07-09,,needs_review,not_verified,disabled,false,false,not_contacted,,Ambulatorio Veterinario Fincato
dir_7e9a5649d03149f7,clinic,Ambulatorio Veterinario Dott.Renato Nobili,Ambulatorio Veterinario Dott.Renato Nobili,,,,,,,45.65645,9.16880,,,,anagrafe_strutture_poi,https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2,2026-07-09,,needs_review,not_verified,disabled,false,false,not_contacted,,Ambulatorio Veterinario Dott.Renato Nobili
dir_af7961ed70f361de,clinic,Amb.Vet.dD.sSa aAgGoria cCgnazzo,Amb.Vet.dD.sSa aAgGoria cCgnazzo,,,,,,,40.24862,18.27447,,,,anagrafe_strutture_poi,https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2,2026-07-09,,needs_review,not_verified,disabled,false,false,not_contacted,,Amb.Vet.dD.sSa aAgGoria cCgnazzo
dir_a4468b52bd4a9f01,clinic,Ambulatorio Veterinario Dr.Fossati Paola,Ambulatorio Veterinario Dr.Fossati Paola,,,,,,,45.98195,12.30410,,,,anagrafe_strutture_poi,https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2,2026-07-09,,needs_review,not_verified,disabled,false,false,not_contacted,,Ambulatorio Veterinario Dr.Fossati Paola
dir_d2640e08d36cf07f,clinic,Ambulatorio Veterinario Dr C.pPccati,Ambulatorio Veterinario Dr C.pPccati,,,,,,,45.81312,8.82881,,,,anagrafe_strutture_poi,https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2,2026-07-09,,needs_review,not_verified,disabled,false,false,not_contacted,,Ambulatorio Veterinario Dr C.pPccati
dir_c59f55fe9eda1a1b,clinic,Clinica Veterinaria Biellese,Clinica Veterinaria Biellese,,,,,,,45.55454,8.05920,,,,anagrafe_strutture_poi,https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2,2026-07-09,,needs_review,not_verified,disabled,false,false,not_contacted,,Clinica Veterinaria Biellese
